"";"ref.date";"ticker";"price.adjusted"
"1843";2021-06-10;"PETR4.SA";24,095421
"1844";2021-06-11;"PETR4.SA";24,003002
"1845";2021-06-14;"PETR4.SA";24,154232
"1846";2021-06-15;"PETR4.SA";24,389473
"1847";2021-06-16;"PETR4.SA";24,481888
"1848";2021-06-17;"PETR4.SA";23,633339
"1849";2021-06-18;"PETR4.SA";23,792967
"1850";2021-06-21;"PETR4.SA";24,32226
"1851";2021-06-22;"PETR4.SA";24,448282
"1852";2021-06-23;"PETR4.SA";24,61631
"1853";2021-06-24;"PETR4.SA";24,910362
"1854";2021-06-25;"PETR4.SA";24,448282
"1855";2021-06-28;"PETR4.SA";24,406273
"1856";2021-06-29;"PETR4.SA";24,515493
"1857";2021-06-30;"PETR4.SA";24,725531
"1858";2021-07-01;"PETR4.SA";24,414675
"1859";2021-07-02;"PETR4.SA";24,515493
"1860";2021-07-05;"PETR4.SA";24,238245
"1861";2021-07-06;"PETR4.SA";23,246872
"1862";2021-07-07;"PETR4.SA";23,566126
"1863";2021-07-08;"PETR4.SA";23,095644
"1864";2021-07-12;"PETR4.SA";23,297279
"1865";2021-07-13;"PETR4.SA";23,440105
"1866";2021-07-14;"PETR4.SA";23,246872
"1867";2021-07-15;"PETR4.SA";22,751186
"1868";2021-07-16;"PETR4.SA";22,415127
"1869";2021-07-19;"PETR4.SA";22,04546
"1870";2021-07-20;"PETR4.SA";22,339512
"1871";2021-07-21;"PETR4.SA";22,650366
"1872";2021-07-22;"PETR4.SA";22,599957
"1873";2021-07-23;"PETR4.SA";22,465534
"1874";2021-07-26;"PETR4.SA";23,078842
"1875";2021-07-27;"PETR4.SA";22,809996
"1876";2021-07-28;"PETR4.SA";23,280478
"1877";2021-07-29;"PETR4.SA";23,364492
"1878";2021-07-30;"PETR4.SA";22,60836
"1879";2021-08-02;"PETR4.SA";22,188286
"1880";2021-08-03;"PETR4.SA";22,557951
"1881";2021-08-04;"PETR4.SA";22,079069
"1882";2021-08-05;"PETR4.SA";23,818172
"1883";2021-08-06;"PETR4.SA";23,851776
"1884";2021-08-09;"PETR4.SA";23,683748
"1885";2021-08-10;"PETR4.SA";23,759361
"1886";2021-08-11;"PETR4.SA";24,087019
"1887";2021-08-12;"PETR4.SA";24,448282
"1888";2021-08-13;"PETR4.SA";24,658319
"1889";2021-08-16;"PETR4.SA";24,061813
"1890";2021-08-17;"PETR4.SA";24,061735
"1891";2021-08-18;"PETR4.SA";23,848091
"1892";2021-08-19;"PETR4.SA";23,714561
"1893";2021-08-20;"PETR4.SA";23,678955
"1894";2021-08-23;"PETR4.SA";24,052834
"1895";2021-08-24;"PETR4.SA";24,551336
"1896";2021-08-25;"PETR4.SA";24,684864
"1897";2021-08-26;"PETR4.SA";24,47122
"1898";2021-08-27;"PETR4.SA";25,361406
"1899";2021-08-30;"PETR4.SA";25,19227
"1900";2021-08-31;"PETR4.SA";24,204165
"1901";2021-09-01;"PETR4.SA";24,070637
"1902";2021-09-02;"PETR4.SA";23,678955
"1903";2021-09-03;"PETR4.SA";23,438604
"1904";2021-09-06;"PETR4.SA";23,554327
"1905";2021-09-08;"PETR4.SA";22,227949
"1906";2021-09-09;"PETR4.SA";22,699749
"1907";2021-09-10;"PETR4.SA";22,55732
"1908";2021-09-13;"PETR4.SA";23,349585
"1909";2021-09-14;"PETR4.SA";23,038019
"1910";2021-09-15;"PETR4.SA";23,438604
"1911";2021-09-16;"PETR4.SA";23,233862
"1912";2021-09-17;"PETR4.SA";22,192343
"1913";2021-09-20;"PETR4.SA";21,94309
"1914";2021-09-21;"PETR4.SA";22,441595
"1915";2021-09-22;"PETR4.SA";23,011314
"1916";2021-09-23;"PETR4.SA";23,892599
"1917";2021-09-24;"PETR4.SA";23,946011
"1918";2021-09-27;"PETR4.SA";24,159655
"1919";2021-09-28;"PETR4.SA";23,99942
"1920";2021-09-29;"PETR4.SA";24,3822
"1921";2021-09-30;"PETR4.SA";24,239771
"1922";2021-10-01;"PETR4.SA";24,925215
"1923";2021-10-04;"PETR4.SA";25,628464
"1924";2021-10-05;"PETR4.SA";26,18928
"1925";2021-10-06;"PETR4.SA";25,494934
"1926";2021-10-07;"PETR4.SA";25,459328
"1927";2021-10-08;"PETR4.SA";25,922224
"1928";2021-10-11;"PETR4.SA";26,10026
"1929";2021-10-13;"PETR4.SA";26,376219
"1930";2021-10-14;"PETR4.SA";26,420729
"1931";2021-10-15;"PETR4.SA";26,349514
"1932";2021-10-18;"PETR4.SA";26,215986
"1933";2021-10-19;"PETR4.SA";24,934116
"1934";2021-10-20;"PETR4.SA";25,370308
"1935";2021-10-21;"PETR4.SA";24,435614
"1936";2021-10-22;"PETR4.SA";24,195263
"1937";2021-10-25;"PETR4.SA";25,851009
"1938";2021-10-26;"PETR4.SA";25,601757
"1939";2021-10-27;"PETR4.SA";25,539444
"1940";2021-10-28;"PETR4.SA";25,779793
"1941";2021-10-29;"PETR4.SA";24,168556
